study,time_h,conc_native,conc_unit,conc_mg_L
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),0.25,0.0004195353,mg/l,0.00042
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),0.5,0.00298088,mg/l,0.002981
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),0.75,0.003679743,mg/l,0.00368
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),1.0,0.0034960187,mg/l,0.003496
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),1.5,0.003472886,mg/l,0.003473
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),2.0,0.0032779,mg/l,0.003278
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),2.5,0.003035274,mg/l,0.003035
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),3.0,0.00268762582,mg/l,0.002688
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),4.0,0.00205415883,mg/l,0.002054
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),5.0,0.001540177,mg/l,0.00154
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),6.0,0.001169665,mg/l,0.00117
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),7.0,0.000876996841,mg/l,0.000877
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),8.0,0.0006575588,mg/l,0.000658
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),10.0,0.0003865681,mg/l,0.000387
Friedman 1986 - Figure 1 - Triazolam - PO - 0.5 mg - Plasma - agg. (n=54),12.0,0.0002025744,mg/l,0.000203
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),0.25,0.0005637115,mg/l,0.000564
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),0.5,0.002314852,mg/l,0.002315
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),0.75,0.002486483,mg/l,0.002486
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),1.0,0.002933496,mg/l,0.002933
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),1.5,0.002799365,mg/l,0.002799
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),2.0,0.00256990618,mg/l,0.00257
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),2.5,0.0022556358,mg/l,0.002256
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),3.0,0.002216916,mg/l,0.002217
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),4.0,0.001620012,mg/l,0.00162
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),5.0,0.001309428,mg/l,0.001309
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),6.0,0.001083654,mg/l,0.001084
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),8.0,0.000600134,mg/l,0.0006
Friedman 1988 - Control - Triazolam - PO - 0.5 mg - Plasma - agg. (n=19),10.0,0.0003286403,mg/l,0.000329
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",0.5,0.000760240946,mg/l,0.00076
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",1.0,0.000970148947,mg/l,0.00097
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",1.5,0.0007801438,mg/l,0.00078
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",2.0,0.0006719437,mg/l,0.000672
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",2.5,0.0005787352,mg/l,0.000579
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",3.0,0.0004510928,mg/l,0.000451
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",4.0,0.000353966228,mg/l,0.000354
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",6.0,0.000203489908,mg/l,0.000203
"Greenblatt 1991 - Young subjects, 0.125 mg - Triazolam - PO - 0.125 mg - Plasma - agg. (n=26)",8.0,0.000130891291,mg/l,0.000131
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",0.5,0.0014451911,mg/l,0.001445
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",1.0,0.001606182,mg/l,0.001606
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",1.5,0.00150832208,mg/l,0.001508
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",2.0,0.001250255,mg/l,0.00125
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",2.5,0.001130964,mg/l,0.001131
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",3.0,0.0009671708,mg/l,0.000967
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",4.0,0.0006941962,mg/l,0.000694
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",6.0,0.0003666742,mg/l,0.000367
"Greenblatt 1991 - Young subjects, 0.25 mg - Triazolam - PO - 0.25 mg - Plasma - agg. (n=26)",8.0,0.000237968809,mg/l,0.000238
Greenblatt 1989 - Triazolam group - Triazolam - PO - 0.25 mg - Plasma - agg. (n=11),0.5,0.001435185,mg/l,0.001435
Greenblatt 1989 - Triazolam group - Triazolam - PO - 0.25 mg - Plasma - agg. (n=11),1.0,0.001953853,mg/l,0.001954
Greenblatt 1989 - Triazolam group - Triazolam - PO - 0.25 mg - Plasma - agg. (n=11),1.5,0.00155468588,mg/l,0.001555
