time[h],concentration[mg/l]
0.0,0.000703462458
1.0,0.008448177
2.0,0.0122017609
4.0,0.01266717
5.0,0.0114909094
6.0,0.01336655
7.0,0.01665091
9.0,0.01852502
10.0,0.01805273
11.0,0.0208676
12.0,0.0234474782
14.0,0.0236778911
15.0,0.02437982
20.0,0.0257773083
24.0,0.0271771
48.0,0.03557558
72.0,0.0388099737
73.0,0.04232882
74.0,0.04396947
76.0,0.0420871861
77.0,0.03950324
78.0,0.04325683
79.0,0.0439590141
81.0,0.04371968
82.0,0.0404312536
83.0,0.04582803
84.0,0.0472342
86.0,0.0444132127
87.0,0.04300272
88.0,0.050277438
89.0,0.05097937
91.0,0.04721941
93.0,0.04345895
96.0,0.0401661769
101.0,0.031939242
108.0,0.0291072913
