time[h],concentration[mg/l]
0.25,0.007113036
0.5,0.1039149
0.75,0.2650899
1.0,0.3120322
1.5,0.2807373
2.0,0.2350439
3.0,0.2277872
4.0,0.1625516
5.0,0.1364014
6.0,0.108444504
8.0,0.07499796
12.0,0.03522668
144.0,0.358841181
144.25,0.3271893
144.5,0.6110648
144.75,1.618344
145.0,1.94413793
145.5,1.739762
146.0,1.675735
147.0,1.269879
148.0,1.055049
149.0,0.892791867
150.0,0.7019271
152.0,0.4584873
156.0,0.2308184
312.0,0.2926698
312.25,0.2772216
312.5,0.61774236
312.75,1.126756
313.0,1.428224
313.5,1.40352786
314.0,1.30591106
315.0,1.090238
316.0,0.9269021
317.0,0.7598354
318.0,0.657891154
320.0,0.426332
324.0,0.210895091
