time[h],concentration[µmol/l]
0.330558,0.0485184826
0.331431,0.133342609
0.332178,0.206048533
0.495837,0.07277786
0.496959,0.181837022
0.580097,0.242437333
0.745624959,0.290932536
0.74924,0.642346442
0.750362039,0.751405835
0.829759955,0.448475152
0.908411,0.07283735
0.913272,0.5454295
0.916389048,0.8483722
0.935584,2.71449971
0.991175,0.0970847
1.0004,0.993796349
1.15695,0.169814825
1.16917,1.35735011
1.32722008,0.678783357
1.41135,0.836325943
1.41472,1.16350424
1.42245,1.91480708
1.48975,0.436452985
1.50222,1.64822519
1.53163993,4.508015
1.65242,0.206239715
1.82443,0.8848559
1.82891,1.321095
1.90444994,0.6425135
1.91429,1.59981287
1.93012,3.138766
1.94097,4.19300747
1.99132991,1.06664622
1.99905,1.81794238
2.00703,2.59347558
2.07883,1.55137372
2.14701,0.157839432
2.32350016,1.27269471
2.32911,1.81799591
2.32999,1.90281439
2.3958,0.27905342
2.42609,3.22366476
2.43542981,4.1324954
2.49776,2.16943645
2.50349,2.72685337
2.50648,3.017675
2.74667,2.30276084
2.81311,0.7395869
2.82743979,2.13312387
2.99123,2.011966
3.00282,3.13892651
3.00444,3.29645038
3.00942,3.78116179
3.0796,2.581523
3.08272,2.88445759
3.16011977,2.3876462
3.16548014,2.90871048
3.23952,2.08471155
3.33475018,3.32073
3.33749,3.58732533
3.42773,4.338632
3.48756,2.13321757
3.49292,2.65428162
3.50077,3.41770172
3.56871,1.99993312
3.57232,2.351347
3.57756,2.86029816
3.66094,2.94513
3.82783985,3.12692022
3.90137982,2.25445557
3.90299988,2.41199279
3.90388012,2.49681139
3.90911,3.00576234
3.91659021,3.73281646
3.98028016,1.90305507
3.98714,2.56953
3.99474,3.30871058
4.01444,5.223317
4.31371,2.23028278
4.42863,5.380908
4.47762,2.12125134
4.48484,2.824079
4.48871,3.19971919
4.49058,3.38149619
4.49569,3.87832069
4.55764,1.878909
4.56286955,2.38784671
4.72566032,2.16975737
4.81115961,2.46059227
4.81528,2.860472
4.8858304,1.69718564
4.88832,1.93954146
4.90477,3.53907347
4.98243,3.06650186
4.98367,3.187673
5.0054903,5.308283
5.05136,1.74567819
5.13686037,2.036513
5.14546,2.87263846
5.21813,1.91535532
5.22012043,2.109232
5.30862,2.69090176
5.39412975,2.98173666
5.46118975,1.4791497
5.47078,2.41222
5.4754,2.86056566
5.48088026,3.39375615
5.4990797,5.16293859
5.62447,1.30952466
5.63045,1.89116919
5.79698,2.03660679
5.87613,1.70944583
5.95491,1.34591889
5.95927,1.77005148
5.96151,1.98816764
5.96276,2.10933876
5.96824,2.64251614
5.97148,2.95757747
5.97996,3.78158975
5.99143028,4.89642334
7.68286,0.8735838
7.84963036,1.04325557
7.85163,1.23713887
7.93564,1.38256574
7.93676,1.49162376
7.93788,1.6006819
7.94011974,1.81879807
7.94223976,2.024801
7.95932,3.684939
8.01765,1.33410525
11.8859,0.365246326
11.8865,0.425834626
11.8875,0.5227769
11.8881006,0.5833652
11.8896,0.72877866
11.983,1.78303361
12.0554,0.8015081
12.0561008,0.8742148
12.057,0.959038734
12.1403008,1.03175747
23.9393,0.9728712
23.9434,1.37275219
24.0208015,0.8759409
24.107399,1.2758379
24.1099,1.51818967
24.1185,2.354315
24.2663,0.682092369
24.2736,1.38491881
24.3524,1.02140117
24.3531,1.09410787
24.4329,0.8275286
24.4366016,1.1910609
24.4374,1.2637676
24.4406013,1.57882214
24.4469986,2.19683123
24.7664,1.16687346
24.768,1.324404
24.8497,1.23959219
24.8539,1.6515944
24.8548985,1.74853933
24.863,2.5361855
25.0166988,1.43350494
25.0264,2.37868834
25.0952015,1.0457437
25.1075,2.23327756
25.2650013,1.506237
25.3635,3.05731678
25.4426,2.73015571
25.530901,3.287586
25.6766,1.40935886
25.6777,1.518417
25.9483,3.760238
25.9527988,4.19647026
26.0071011,1.45787823
26.0093,1.6638813
26.0104,1.77293932
26.0326,3.92988825
26.0857983,1.08223951
26.0991,2.37883544
26.2561,1.59120262
26.2721,3.15439534
26.4237,1.84569824
26.4347,2.91206622
26.4520988,4.6085434
26.4560986,4.99630976
26.6012,3.057504
26.6852016,3.202928
26.759,2.354703
26.918,1.77307308
26.9395,3.85731673
27.0079,2.48802733
27.0138,3.05755734
27.0321,4.838866
27.0403,5.638639
27.105299,3.9300487
27.181,3.27570033
27.2668018,3.59077477
27.4184,2.28209114
27.4256,2.98491883
27.4313011,3.54233575
27.5257988,4.705649
27.5423,6.305181
27.5898,2.90011358
27.5921,3.13035631
27.6068,4.560238
27.6094,4.81472
27.9312,4.00287437
28.0015,2.81534863
28.0026,2.92440677
28.0033989,3.00923848
28.0061989,3.27582049
28.0796,2.39124274
28.090601,3.45759749
28.1028,4.645137
28.1199,6.30527449
28.3372,3.3728056
28.4119987,2.62152553
28.498,2.96083951
28.5038013,3.51824331
28.5054,3.67578053
28.5136013,4.475553
28.5338,6.438626
28.583,3.20319533
28.5915,4.027208
28.598,4.65733
28.6572,2.39132285
28.830101,3.15476966
28.8598,6.038786
28.9159985,3.48195744
28.9244,4.30595636
28.996,3.239615
29.0053,4.14844561
29.0686989,2.28231835
29.0745,2.85186172
29.0803,3.40927863
29.1557,2.71857738
29.2359,2.50046134
29.3270988,3.3366
29.4162,3.978849
29.4336,5.675339
29.4947,3.59109569
29.5611,2.02791619
29.5675011,2.64592552
29.5696011,2.85192871
29.5781,3.67592764
29.6465015,2.30663824
29.7432,3.68808079
29.8243,3.54267
29.9047985,3.34880662
29.9751,2.16128087
29.9858,3.20339584
30.0047,5.045297
30.0560989,2.01587
30.0583,2.23399949
30.0614986,2.53693438
30.0631,2.6944716
30.0640984,2.79141665
30.074,3.76082635
30.2326012,3.13073063
35.8217,0.9988208
35.982,0.5383702
35.9838028,0.720136344
35.9876976,1.09578586
35.9887,1.19272816
35.9899025,1.31390464
35.9922,1.53202748
36.0857,2.59839559
47.8756,1.65491009
47.9497,0.843039
47.9506,0.927864134
47.9531021,1.17021859
47.9595,1.78822112
47.972,3.012113
48.0341,1.02481711
48.038002,1.400468
48.039402,1.53376567
59.8422,1.85052478
59.9231,1.69300091
59.9979973,0.9538365
59.9991,1.06289589
60.0196,3.0502038
60.0823,1.12349761
60.0833,1.22043848
60.0850029,1.390093
71.968,1.47662282
71.9783,2.47028542
72.0544052,1.85228956
72.0659,2.96712351
72.1295,1.12523437
72.1304,1.22217667
72.1346054,1.6220603
72.2915039,0.8344328
72.2934952,1.02831745
72.2972,1.39184439
72.3037,2.0219667
72.309906,2.627863
72.3872,2.118925
72.4610062,1.27069592
72.4647,1.63422692
72.4664,1.79176414
72.5452957,1.44035029
72.621994,0.8829521
72.6244,1.113188
72.7077942,1.19802523
72.7110062,1.51308239
72.7261,2.97933
72.7881,0.9799171
72.7959,1.74333847
72.9546,1.12535465
72.9622,1.8645364
72.9636,1.99783409
73.1221,1.36773849
73.125,1.646447
73.2979,2.4098804
73.2989044,2.50682521
73.3068,3.28235841
73.4474,0.9073066
73.4482956,0.9921305
73.4577942,1.91308248
73.4609,2.216017
73.4635,2.47049928
73.619,1.53745568
73.6413956,3.71864438
73.7154,2.89464545
73.9566,2.27667618
73.9687958,3.46421552
74.0284958,1.24668622
74.042,2.555398
74.0444,2.78564072
74.0461044,2.955291
74.0475,3.08857536
74.218605,3.68237185
74.2985,3.42791629
74.3055038,4.10650444
74.4621048,3.28251886
74.4628,3.35522437
74.5346,2.31312251
74.5620041,4.9790225
74.6094,1.561829
74.6268,3.25831938
74.6364,4.191376
74.6373,4.2762084
74.7074,3.06444287
74.7241,4.6882143
74.8915,4.91848373
74.9613,3.68247867
75.0259,1.94966245
75.0508,4.36108
75.0515,4.43379927
75.1157,2.65250349
75.1289,3.93697429
75.1409,5.100274
75.2027054,3.08874917
75.2947,4.0097065
75.448,2.87065983
75.4694,4.954917
75.4767,5.65774441
75.535,3.30691886
75.6221,3.75527787
75.6311,4.62775564
75.636,5.100354
75.7066,3.949181
75.7843,3.476596
75.9458,3.137322
75.9528961,3.82803655
75.9604,4.555104
75.974205,5.900167
76.0301056,3.30698586
76.04009,4.27640867
76.109,2.95558524
76.1296,4.95501041
76.207,4.458199
76.2764,3.18584132
76.3639,3.67056632
76.4634,5.31859064
76.5262,3.40399766
76.6104,3.57366133
76.6175,4.264376
76.6382,6.275914
76.6959,3.86449623
76.7704,3.07685018
76.9368,3.21017456
76.9375,3.28287983
76.9632,5.77912951
77.028,4.05842638
77.1042938,3.452557
77.1111,4.119032
77.11369,4.373501
77.119,4.882452
77.2657,3.10116982
77.4361038,3.62224746
77.4463,4.61591
77.5106049,2.84672761
77.5216,3.91308236
77.592,2.737683
77.5948944,3.01639152
77.6049957,3.99792767
77.7056961,5.7671237
77.7736,4.34935474
77.9264,3.16184235
77.9434,4.80985355
78.0057,2.84679461
