time[h],concentration[µg/ml]
0.230911,0.339807
0.690835,0.975562
0.92222,1.32633
1.58507991,1.65498
2.0322,1.99469
2.89373,1.91754
4.07152,1.65384
6.10182,1.10467
8.14351,0.818648
10.078,0.554606
12.0159,0.367317
16.0082,0.190055
24.0038013,0.0877176
48.0,0.107769996
72.0,0.105992004
96.0,0.104263
96.3357,0.367268
96.593605,1.33206
97.0406952,1.67177
97.4883,2.02244
98.0403,2.28535
99.1180038,2.2081
100.0791,1.93354
101.9994,1.34056
104.0387,0.999713957
106.0795,0.691764
108.0168,0.49351
111.791504,0.283452
119.8924,0.115277
