time[h],concentration[ng/ml]
0.4990639,124.928009
0.4992747,744.664
0.5000642,37.291
0.5008598,49.81
0.5008765,175.006
0.9993441,3630.351
0.9997046,1577.143
0.9997917,1376.83
0.9998221,149.913
1.000437,500.461
1.00063956,500.461
1.000778,825.97
1.99907625,106.014
1.99954331,1282.844
1.99977434,731.984
1.99979532,3605.232
2.00033569,1163.917
2.00047278,2835.279
2.00057673,2378.306
2.00085258,1821.194
2.99926353,1833.616
2.99950361,2528.451
2.999535,1232.677
3.00027132,1802.317
3.000333,1946.29211
3.0005672,2853.96
3.00086,1633.312
3.000889,775.713
3.9991827,1551.845
3.999524,1501.776
3.99973154,1094.881
3.9997766,1733.361
4.00005,1846.055
4.00011349,1639.473
4.00063658,1238.847
4.00093269,2553.401
4.999331,1526.708
4.999721,1952.37292
4.999772,1076.013
4.999889,1050.982
5.000125,1088.541
5.0002,1326.395
5.00083351,2102.599
5.000986,944.557
5.9990344,1564.186
5.999242,731.635
5.99931765,1038.374
5.99951458,975.77594
5.99983454,894.399
5.99995947,1902.223
6.000064,994.545959
6.000593,1232.418
7.99922,650.062
7.999543,825.345
7.999662,700.149
7.99986553,1025.64
8.00013351,581.204
8.000433,1751.792
8.000602,956.800049
8.00097752,1501.401
9.999182,793.867
9.99937248,643.632
9.999499,1620.167
9.999642,1826.73108
9.999978,1019.21
10.0002947,693.711
10.0005,474.618
10.0007343,768.828
11.9990082,1338.289
11.9990568,993.984
11.9990854,580.856
11.999506,424.352
11.9998293,662.242
12.0000629,574.587
12.0009375,1450.96484
24.0001049,454.589
24.0001125,498.407
24.0001583,648.651
24.0005322,730.028
24.00088,980.419
24.000906,385.74
47.9995079,364.809
47.9998436,702.846
47.99987,633.979
48.0001335,364.809
48.00025,314.739
48.000576,427.415
48.0006676,508.791962
48.0007935,245.882
71.99906,231.21
71.99996,525.42
72.00035,199.911
72.00051,444.034
72.00063,444.034
72.00091,318.847015
