time[day(s)],concentration[mg/l]
0.020833334,4.0225852e-05
0.0416666679,6.566993e-05
0.0625,7.174149e-05
0.0833333358,6.308969e-05
0.104166664,5.146742e-05
0.125,4.38487041e-05
0.145833328,3.790921e-05
0.166666672,3.39067228e-05
0.1875,3.06794e-05
0.208333328,2.80978365e-05
0.25,2.59047847e-05
0.333333343,1.9969666e-05
0.416666657,1.73916778e-05
0.5,1.52016746e-05
0.6666667,1.21126459e-05
1.0,9.163499e-06
21.0,1.69159812e-05
21.020834,7.444785e-05
21.041666,9.598023e-05
21.0625,0.00010243518
21.083334,8.365885e-05
21.104166,6.949892e-05
21.125,6.08774571e-05
21.145834,5.44093273e-05
21.166666,4.87072139e-05
21.1875,4.49685358e-05
21.208334,4.26659753e-05
21.25,3.877737e-05
21.333334,3.344082e-05
21.416666,3.01140844e-05
21.5,2.70739547e-05
21.666666,2.228627e-05
22.0,1.65850779e-05
