time[h],concentration[mg/l]
0.468007684,5.44401337e-05
0.493509769,8.35064639e-05
0.604162455,7.514393e-05
1.00318158,0.000126342376
1.03569067,0.000108708111
1.115113,9.588548e-05
1.53339207,0.000126219384
1.56357419,0.000101749327
1.56789351,0.000116905052
2.01755881,0.000127390114
2.06867528,9.45778156e-05
2.172211,8.859437e-05
3.00673771,9.013279e-05
3.07294488,7.7352066e-05
3.13266683,5.730412e-05
3.99137044,5.38732165e-05
4.01884651,6.249131e-05
4.095807,3.99066666e-05
5.998492,3.86926549e-05
6.05764,4.18003438e-05
6.121862,3.013454e-05
8.025836,3.11670119e-05
8.066179,2.79605156e-05
8.094375,2.42067363e-05
11.0204105,2.13134754e-05
11.027873,2.27353758e-05
11.1110115,1.25721235e-05
13.9940166,2.05633423e-05
14.0407,1.28583351e-05
14.04414,1.65349011e-05
23.995121,1.0888265e-05
24.04895,9.782242e-06
24.0722427,9.685513e-06
