time[h],concentration[µmol/l]
0.5,0.0011388826
1.0,0.00369951036
1.5,0.004696215
2.0,0.00500569027
2.5,0.00526777236
3.0,0.00574312173
3.5,0.006313221
4.0,0.00624359
4.5,0.006576761
5.0,0.00546445558
6.0,0.00430614362
8.0,0.00336398
10.0,0.00270617241
12.0,0.00211938261
14.0,0.00181702
24.0,0.0008976517
312.0,0.00232231314
312.5,0.00310571468
313.0,0.00554789649
313.5,0.00699479645
314.0,0.007872984
314.5,0.008324636
315.0,0.00934500247
315.5,0.008990944
316.0,0.008376261
316.5,0.009230822
317.0,0.008142179
318.0,0.006865385
320.0,0.005307152
322.0,0.004056935
324.0,0.003233111
326.0,0.002978141
336.0,0.00189289823
