time[h],concentration[mg/l]
1.0,1.88345492
8.0,0.101813905
9.0,2.242681
24.0,0.2457416
25.0,2.2993114
32.0,0.3206285
33.0,2.20570374
48.0,0.2648315
49.0,2.357372
72.0,0.2540499
73.0,2.39689088
96.0,0.249861181
97.0,2.261401
120.0,0.2737852
121.0,2.561706
144.0,0.3179743
144.5,2.715188
145.0,2.28027725
145.25,0.9138518
146.0,0.712151766
147.0,0.633914948
149.0,0.5785219
151.0,0.5022824
153.0,0.485856
160.0,0.302504182
168.0,0.337025523
176.0,0.2648315
192.0,0.189917579
216.0,0.1594972
240.0,0.101813905
312.0,0.0381172225
