time[h],concentration[mg/l]
2.0,0.3098045
8.0,0.505101
10.0,0.7334819
24.0,0.866992056
26.0,0.9671663
32.0,1.114176
34.0,1.25093007
48.0,1.45037
50.0,1.517162
72.0,1.576855
74.0,1.66011381
96.0,1.71437
98.0,1.96229184
120.0,1.81653678
122.0,1.949712
144.0,2.09265
144.5,1.986554
145.0,2.160051
146.0,1.936027
146.08,1.94853687
146.25,1.91124809
146.5,2.05157
146.75,1.874673
147.0,2.03839827
147.5,1.986554
148.0,2.118714
150.0,2.07816815
152.0,2.160051
154.0,2.2596674
160.0,2.050478
168.0,2.187088
176.0,2.13138461
192.0,2.024198
216.0,1.745127
240.0,1.40148687
312.0,0.7305936
