time[h],concentration[mg/l]
2.0,2.688864
8.0,0.353549331
10.0,3.304299
24.0,0.478540182
26.0,3.434492
32.0,0.929031253
48.0,0.9844761
50.0,3.61609674
72.0,0.888075531
74.0,3.80730629
96.0,0.9532771
98.0,4.24786
120.0,1.056755
122.0,4.008625
144.0,1.28200686
144.5,3.303853
145.0,4.032857
146.0,3.75739264
146.08,2.777165
146.5,3.75739264
146.75,2.06590414
147.0,1.7703979
147.5,1.851928
148.0,1.52695084
150.0,1.507435
152.0,1.52695084
154.0,1.566745
160.0,1.32547808
168.0,1.351302
176.0,1.158013
192.0,1.09288311
216.0,0.9548047
240.0,0.8129843
312.0,0.4356447
