time[h],concentration[µg/l]
2.0,492.2719
8.0,464.5852
10.0,747.7722
24.0,844.9713
26.0,1031.417
32.0,1203.57507
34.0,1386.51892
48.0,1413.532
50.0,1576.855
72.0,1556.7
74.0,1770.398
96.0,1638.896
98.0,1949.712
120.0,1770.398
122.0,1987.698
144.0,2079.23413
144.5,1923.5979
145.0,2132.404
146.0,2064.826
146.25,2051.56982
146.5,2064.826
146.75,2091.596
147.0,2174.00781
147.5,2146.183
148.0,1986.55408
150.0,2012.30908
152.0,2064.826
154.0,2132.404
160.0,1825.7229
168.0,2063.746
176.0,2050.478
192.0,1802.323
216.0,1357.011
240.0,970.342834
312.0,267.1167
