time[h],concentration[µg/l]
2.0,2776.865
8.0,244.9116
24.0,369.854
32.0,822.022156
34.0,4034.527
48.0,1376.131
50.0,3434.49219
72.0,722.668945
74.0,3262.00684
96.0,741.529236
98.0,3138.35181
120.0,780.739
122.0,3220.257
144.0,1016.69617
144.5,2849.541
145.0,3346.627
146.0,2942.669
146.08,2724.092
146.25,2570.882
146.5,2364.663
146.75,2364.663
148.0,1526.95093
150.0,1360.022
152.0,1275.302
154.0,1342.639
160.0,918.6599
168.0,1051.51111
176.0,973.4069
192.0,930.553467
216.0,632.621
240.0,501.8627
312.0,205.265915
