time[h],concentration[µg/l]
1.0,19.9952087
3.0,59.3127747
4.0,96.8525543
5.0,87.0592651
8.0,69.5973358
24.0,18.1659985
28.0,217.752472
48.0,47.4161148
72.0,79.0948639
96.0,92.80955
100.0,359.381378
168.0,131.938126
216.0,174.076752
220.0,430.7837
240.0,175.942368
244.0,459.237335
264.0,175.942368
268.0,454.367828
336.0,202.095078
337.0,296.6349
338.0,430.7837
339.0,444.78302
340.0,435.400482
342.0,408.4239
344.0,379.0564
360.0,215.443512
368.0,158.151779
384.0,114.864365
392.0,101.071739
408.0,62.5599327
432.0,40.4093246
