time[h],concentration[µmol/l]
0.0,0.0
0.4939598,3.28354144
0.744517446,2.674882
0.9950751,2.02379131
1.24563265,1.57071364
1.49619043,1.25907385
1.746748,1.0464406
1.99730563,0.876238763
2.24786329,0.7484683
2.498421,0.6348416
2.74897861,0.5353587
2.999536,0.4641634
3.5006516,0.350060374
4.00176668,0.278388739
4.502882,0.206717074
5.00399733,0.149189219
6.015544,0.08267007
7.006477,0.0551207662
8.020725,0.0446374044
10.0025911,0.0152042005
95.99638,0.01486258
96.49023,4.717407
96.7467346,4.37882662
96.99415,3.76221561
97.2415543,3.29653645
97.48897,2.79312444
97.73637,2.42806625
97.98378,2.113319
98.25022,1.91174686
98.49763,1.67246532
98.7450256,1.47091675
98.99244,1.31967878
99.48726,1.05493569
100.0011,0.8656351
100.495918,0.6512027
100.99073,0.487080842
101.99939,0.309745431
102.99881,0.198674127
103.999153,0.12211863
106.025169,0.035925135
