time[h],concentration[µmol/l]
0.0,0.0
0.494043618,2.65363
0.74460125,1.9459641
0.9951589,1.40802372
1.25906742,1.02422225
1.49627423,0.798887968
1.74683177,0.62868613
1.99738944,0.5150594
2.49850464,0.344381243
2.7490623,0.287329733
2.99962,0.244422
3.50073528,0.172750354
4.00185061,0.1152225
4.502966,0.0859822258
5.00408125,0.0567419529
6.00631142,0.0265489873
7.00854254,0.0104998145
8.010773,0.008594433
10.0142488,0.00662690355
96.00905,0.006478304
96.47925,4.04776764
96.74569,3.330512
96.99309,2.789367
97.2405,2.29853249
97.48791,1.90831935
97.74382,1.62784064
97.98272,1.404601
98.24916,1.26591706
98.4965744,1.08952379
98.74398,0.9508635
98.99139,0.8499361
99.4912643,0.688394248
100.000046,0.534246564
100.494865,0.433013
100.998123,0.3015735
101.998337,0.204754576
103.006996,0.128040344
104.011818,0.07189133
106.012505,0.0192035977
