time[h],concentration[mg/l]
0.31220457,0.130444333
0.3855433,0.169121772
0.7073954,0.19232823
0.9914705,0.1757522
1.16838133,0.1536508
1.38121331,0.137074769
1.48718023,0.120498709
1.80681717,0.10281761
2.055151,0.0840314254
2.44633055,0.07187566
2.801709,0.0564046949
3.29981327,0.045354
3.79803753,0.036513444
4.403246,0.0298830289
4.972833,0.023252612
5.54266,0.0210424718
6.18361044,0.016622195
6.75355673,0.016622195
7.394567,0.0133069875
7.928772,0.0110968491
8.748011,0.009991779
10.101573,0.00888671
