time[h],concentration[mg/l]
0.216475144,0.33598724
0.3314223,0.4851716
0.372551858,0.586838
0.48276943,0.6487219
0.555449545,0.675243556
0.634634,0.7159664
0.8519756,0.7277311
1.23002446,0.7058824
1.44536293,0.6806722
1.49826431,0.6571428
1.60570586,0.6403361
1.65869832,0.618487358
1.92839491,0.5966386
2.03538132,0.5714286
2.08855581,0.5529412
2.19563317,0.529411733
2.303166,0.514285743
2.4105165,0.4957983
2.733843,0.463865548
2.89518762,0.4420168
3.16515732,0.4252101
3.272599,0.408403367
3.70464182,0.383193284
3.92034459,0.364705861
4.19031429,0.347899139
4.62290335,0.332773119
4.89287329,0.3159664
5.054582,0.300840318
5.541529,0.289075643
6.02829456,0.2739496
6.46079254,0.257142872
7.002098,0.2487395
7.38041973,0.231932774
7.70502138,0.223529413
8.191968,0.2117647
8.841353,0.198319331
9.32821,0.184873953
9.81543,0.17815125
10.2482,0.16638656
10.8977671,0.156302527
11.3848057,0.146218479
12.1426334,0.134453788
12.7379322,0.122689076
13.2795115,0.119327739
13.8207254,0.1092437
14.6329107,0.100840338
15.11995,0.0907563046
15.8236933,0.08067227
16.744503,0.07731092
17.1774578,0.06890756
18.0982685,0.0655462146
19.1812439,0.0554621853
20.2646732,0.0537815131
21.2934742,0.04369748
22.2141933,0.03865546
23.2976246,0.0369747877
24.3268776,0.03529412
25.5726547,0.030252099
26.5473671,0.02184874
27.6307983,0.0201680679
28.876667,0.0168067235
29.7434826,0.0168067235
30.6645679,0.0184873939
31.6937313,0.0151260495
32.93969,0.0134453783
33.42718,0.0117647061
34.0228462,0.006722689
