time[h],concentration[ng/ml]
0.213931575,157.8363
0.235608712,142.434082
0.246103317,289.7373
0.2577885,269.7178
0.416239679,214.253281
0.455925256,236.828537
0.460952073,463.68808
0.4627864,436.99823
0.6165723,299.413177
0.6178511,430.807281
0.6220225,520.1135
0.6405777,250.135376
0.6488411,279.9027
0.6646536,199.831024
0.7568828,357.895935
0.769053042,180.819
0.911515355,207.9925
0.944039762,334.760834
0.9873588,304.469666
1.00101948,255.707214
1.45060384,164.254791
1.45562184,241.242615
1.47245729,146.286224
1.47372711,127.808632
1.47740483,224.300613
1.48019159,183.752563
1.92392015,177.50235
1.92550766,154.405365
1.93927407,104.103134
1.94503284,170.3124
1.95294356,205.212387
1.96815634,133.866241
1.96857965,127.707039
2.45552135,92.7054443
2.4631145,132.224838
2.47469378,113.745132
2.96124744,84.3894653
2.96329355,54.6200142
2.98296,68.4739761
3.93132114,69.81905
3.94223022,61.091404
3.98121023,93.93199
3.98530221,34.3930855
4.94587755,8.019656
4.964415,38.29814
