time[h],concentration[µg/l]
0.80268,32210.53
0.90301,27568.42
1.30435,23210.53
1.50502,19421.0488
1.90636,13926.32
2.40803,11936.84
3.11037,10042.11
3.51171,8715.79
3.91304,7673.684
4.91639,6157.89551
5.91973,5589.474
11.839469,7484.21
12.94314,35147.3672
13.44482,24252.6289
13.84615,20368.42
18.0602,10515.79
23.77926,11178.95
24.88294,40168.418
24.98328,35715.793
25.28428,32115.79
25.29,27378.95
26.0869579,22357.89
26.48829,19800.0
26.98997,17242.11
27.59197,15726.32
27.79264,14494.74
28.79599,11747.37
30.90301,9094.737
33.01003,6821.05273
36.92308,4357.895
40.73579,2936.842
48.76254,1610.526
54.88294,852.6316
61.00335,473.6842
