time[h],concentration[µg/l]
0.0,145.8333
0.89109,63437.5039
0.896,53666.67
1.38614,46229.17
1.48515,38062.5
1.88119,29020.83
2.57426,24062.5
2.87129,20854.17
3.46535,18375.0
3.9604,15750.0
4.9505,12833.33
6.93069,9479.167
8.81188,6562.5
11.9802,4958.333
12.77228,64604.16
13.46535,39958.33
13.86139,33395.83
24.65347,65187.5
25.14852,57604.17
25.15,49875.0
25.24752,40833.33
26.0396,33687.5
26.33663,28437.5
26.63366,25375.0
27.32673,22750.0
27.82178,20854.17
28.91089,16916.67
30.89109,12979.17
33.16832,9625.0
37.12871,5833.333
41.18812,3500.0
49.0099,1750.0
55.0495,1458.333
61.28713,291.6667
