study,time_h,conc_native,conc_unit,conc_mg_L
"Abduljalil 2009, 500 mg po MD",0.3306,0.0485184826,µmol/l,0.03629
"Abduljalil 2009, 500 mg po MD",0.3314,0.133342609,µmol/l,0.099734
"Abduljalil 2009, 500 mg po MD",0.3322,0.206048533,µmol/l,0.154115
"Abduljalil 2009, 500 mg po MD",0.4958,0.07277786,µmol/l,0.054434
"Abduljalil 2009, 500 mg po MD",0.497,0.181837022,µmol/l,0.136006
"Abduljalil 2009, 500 mg po MD",0.5801,0.242437333,µmol/l,0.181332
"Abduljalil 2009, 500 mg po MD",0.7456,0.290932536,µmol/l,0.217604
"Abduljalil 2009, 500 mg po MD",0.7492,0.642346442,µmol/l,0.480445
"Abduljalil 2009, 500 mg po MD",0.7504,0.751405835,µmol/l,0.562017
"Abduljalil 2009, 500 mg po MD",0.8298,0.448475152,µmol/l,0.335439
"Abduljalil 2009, 500 mg po MD",0.9084,0.07283735,µmol/l,0.054479
"Abduljalil 2009, 500 mg po MD",0.9133,0.5454295,µmol/l,0.407956
"Abduljalil 2009, 500 mg po MD",0.9164,0.8483722,µmol/l,0.634543
"Abduljalil 2009, 500 mg po MD",0.9356,2.71449971,µmol/l,2.030319
"Abduljalil 2009, 500 mg po MD",0.9912,0.0970847,µmol/l,0.072615
"Abduljalil 2009, 500 mg po MD",1.0004,0.993796349,µmol/l,0.743313
"Abduljalil 2009, 500 mg po MD",1.1569,0.169814825,µmol/l,0.127014
"Abduljalil 2009, 500 mg po MD",1.1692,1.35735011,µmol/l,1.015235
"Abduljalil 2009, 500 mg po MD",1.3272,0.678783357,µmol/l,0.507698
"Abduljalil 2009, 500 mg po MD",1.4114,0.836325943,µmol/l,0.625533
"Abduljalil 2009, 500 mg po MD",1.4147,1.16350424,µmol/l,0.870247
"Abduljalil 2009, 500 mg po MD",1.4224,1.91480708,µmol/l,1.432186
"Abduljalil 2009, 500 mg po MD",1.4897,0.436452985,µmol/l,0.326446
"Abduljalil 2009, 500 mg po MD",1.5022,1.64822519,µmol/l,1.232796
"Abduljalil 2009, 500 mg po MD",1.5316,4.508015,µmol/l,3.371785
"Abduljalil 2009, 500 mg po MD",1.6524,0.206239715,µmol/l,0.154258
"Abduljalil 2009, 500 mg po MD",1.8244,0.8848559,µmol/l,0.661831
"Abduljalil 2009, 500 mg po MD",1.8289,1.321095,µmol/l,0.988117
"Abduljalil 2009, 500 mg po MD",1.9044,0.6425135,µmol/l,0.48057
"Abduljalil 2009, 500 mg po MD",1.9143,1.59981287,µmol/l,1.196585
"Abduljalil 2009, 500 mg po MD",1.9301,3.138766,µmol/l,2.347651
"Abduljalil 2009, 500 mg po MD",1.941,4.19300747,µmol/l,3.136174
"Abduljalil 2009, 500 mg po MD",1.9913,1.06664622,µmol/l,0.797802
"Abduljalil 2009, 500 mg po MD",1.999,1.81794238,µmol/l,1.359736
"Abduljalil 2009, 500 mg po MD",2.007,2.59347558,µmol/l,1.939799
"Abduljalil 2009, 500 mg po MD",2.0788,1.55137372,µmol/l,1.160355
"Abduljalil 2009, 500 mg po MD",2.147,0.157839432,µmol/l,0.118057
"Abduljalil 2009, 500 mg po MD",2.3235,1.27269471,µmol/l,0.951916
"Abduljalil 2009, 500 mg po MD",2.3291,1.81799591,µmol/l,1.359776
"Abduljalil 2009, 500 mg po MD",2.33,1.90281439,µmol/l,1.423216
"Abduljalil 2009, 500 mg po MD",2.3958,0.27905342,µmol/l,0.208719
"Abduljalil 2009, 500 mg po MD",2.4261,3.22366476,µmol/l,2.411151
"Abduljalil 2009, 500 mg po MD",2.4354,4.1324954,µmol/l,3.090914
"Abduljalil 2009, 500 mg po MD",2.4978,2.16943645,µmol/l,1.622637
"Abduljalil 2009, 500 mg po MD",2.5035,2.72685337,µmol/l,2.039559
"Abduljalil 2009, 500 mg po MD",2.5065,3.017675,µmol/l,2.25708
"Abduljalil 2009, 500 mg po MD",2.7467,2.30276084,µmol/l,1.722358
"Abduljalil 2009, 500 mg po MD",2.8131,0.7395869,µmol/l,0.553177
"Abduljalil 2009, 500 mg po MD",2.8274,2.13312387,µmol/l,1.595477
"Abduljalil 2009, 500 mg po MD",2.9912,2.011966,µmol/l,1.504857
